distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_awg_isolation_db,params_channel_total_loss_db,params_raman_dark_rate_hz,sweep_protocol_runtime_protocol_class
20.0,False,10000000,bb84-decoy,BB84DecoyProtocol,105950,43735,0.0043735,,0.0,0.0,3.482e-05,0,52594,53356,0.0176015597,0.0045446004,0.0,0.0,0.0,0.0,0,10595,4.0,0.398107170553,OK,5.9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211640,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,4.0,0.0,BB84DecoyProtocol
30.0,False,10000000,bb84-decoy,BB84DecoyProtocol,67136,24715,0.0024715,,0.0,0.0,5.494e-05,0,33489,33647,0.0111926933,0.0027879099,0.0,0.0,0.0,0.0,0,6714,6.0,0.251188643151,OK,6.2427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134328,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,6.0,0.0,BB84DecoyProtocol
10.0,False,10000000,bb84-decoy,BB84DecoyProtocol,160762,36741,0.0036741,,0.0,0.0,2.295e-05,0,80117,80645,0.0275169202,0.0046962747,0.0,0.0,0.0,0.0,0,16076,2.0,0.63095734448,OK,6.5184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321896,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.1,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,2.0,0.0,BB84DecoyProtocol
50.0,False,10000000,bb84-decoy,BB84DecoyProtocol,27093,8357,0.0008357,,0.0,0.0,0.00013615,0,13483,13610,0.0045143794,0.0011262472,0.0,0.0,0.0,0.0,0,2709,10.0,0.1,OK,6.5187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53922,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,10.0,0.0,BB84DecoyProtocol
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,250810,59287,0.0059287,,0.0,0.0,1.471e-05,0,125709,125101,0.0429580718,0.0072524081,0.0,0.0,0.0,0.0,0,25081,0.0,1.0,OK,6.8116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501945,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.1,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,BB84DecoyProtocol
70.0,False,10000000,bb84-decoy,BB84DecoyProtocol,10676,2440,0.000244,,0.0,0.0,0.00034547,0,5355,5321,0.0017776955,0.0004475199,0.0,0.0,0.0,0.0,0,1068,14.0,0.039810717055,OK,7.5462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21530,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,14.0,0.0,BB84DecoyProtocol
40.0,False,10000000,bb84-decoy,BB84DecoyProtocol,42807,14902,0.0014902,,0.0,0.0,8.617e-05,0,21429,21378,0.0071347015,0.0017819699,0.0,0.0,0.0,0.0,0,4281,8.0,0.158489319246,OK,7.6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85171,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,8.0,0.0,BB84DecoyProtocol
90.0,False,10000000,bb84-decoy,BB84DecoyProtocol,4377,206,2.06e-05,,0.0,0.0,0.00084243,0,2177,2200,0.0007309447,0.0001785486,0.0,0.0,0.0,0.0,0,438,18.0,0.015848931925,OK,5.8184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8660,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,18.0,0.0,BB84DecoyProtocol
120.0,False,10000000,bb84-decoy,BB84DecoyProtocol,1143,0,0.0,,0.0,0.0,0.00322216,0,570,573,0.0001903109,4.80309e-05,0.0,0.0,0.0,0.0,0,114,24.0,0.003981071706,ZERO_KEY,5.6214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2277,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,24.0,0.0,BB84DecoyProtocol
60.0,False,10000000,bb84-decoy,BB84DecoyProtocol,16954,5054,0.0005054,,0.0,0.0,0.00021756,0,8399,8555,0.0028224611,0.000715869,0.0,0.0,0.0,0.0,0,1695,12.0,0.063095734448,OK,12.7828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33878,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,12.0,0.0,BB84DecoyProtocol
100.0,False,10000000,bb84-decoy,BB84DecoyProtocol,2661,0,0.0,,0.0,0.0,0.00138532,0,1334,1327,0.0004396772,0.0001214183,0.0,0.0,0.0,0.0,0,266,20.0,0.01,ZERO_KEY,6.7448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5374,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,20.0,0.0,BB84DecoyProtocol
130.0,False,10000000,bb84-decoy,BB84DecoyProtocol,683,0,0.0,,0.0,0.0,0.00538644,0,328,355,0.0001165462,2.10104e-05,0.0,0.0,0.0,0.0,0,68,26.0,0.002511886432,ZERO_KEY,5.9767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,26.0,0.0,BB84DecoyProtocol
140.0,False,10000000,bb84-decoy,BB84DecoyProtocol,456,0,0.0,,0.0,0.0,0.00805701,0,212,244,7.45646e-05,2.2986e-05,0.0,0.0,0.0,0.0,0,46,28.0,0.001584893192,ZERO_KEY,6.3648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,28.0,0.0,BB84DecoyProtocol
110.0,False,10000000,bb84-decoy,BB84DecoyProtocol,1722,0,0.0,,0.0,0.0,0.00213991,0,859,863,0.0002880658,6.89151e-05,0.0,0.0,0.0,0.0,0,172,22.0,0.006309573445,ZERO_KEY,8.3417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,22.0,0.0,BB84DecoyProtocol
80.0,False,10000000,bb84-decoy,BB84DecoyProtocol,6539,1121,0.0001121,,0.0,0.0,0.00056398,0,3255,3284,0.0010853778,0.0002826426,0.0,0.0,0.0,0.0,0,654,16.0,0.025118864315,OK,11.0669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13408,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,16.0,0.0,BB84DecoyProtocol
0.0,True,10000000,bb84-decoy,BB84DecoyProtocol,250997,35984,0.0035984,,0.01035072,0.00994707,0.01075437,2598,125962,125035,0.0429596095,0.0073452387,1.35947e-05,0.01024209,0.01089696,0.52941176,1,25100,0.0,1.0,OK,6.3791,434,225,209,0,0,0,1,0,0,0,0,0,35038,17529,17529,0,251391,501,0,0,0,0,0,3278,0,1,503185,0,False,False,0,"{""afterpulse_total_count"": 501, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.1,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,BB84DecoyProtocol
40.0,True,10000000,bb84-decoy,BB84DecoyProtocol,42479,8454,0.0008454,,0.00974599,0.00876572,0.01072626,414,21375,21104,0.007088381,0.0017397183,3.2007e-06,0.00933525,0.01293475,0.625,1,4248,8.0,0.158489319246,OK,5.8952,8,4,4,0,0,0,1,0,0,0,0,0,5589,2749,2749,0,42659,100,0,0,0,0,0,115,0,1,85437,0,False,False,0,"{""afterpulse_total_count"": 100, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,3e-06,2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,8.0,0.0,BB84DecoyProtocol
